,ZipCode,Issue Reported,Longitude,Status Date
3948,78701,Traffic Hazard,-97.778242,03/09/2019 09:15:05 PM +0000
3953,78729,Crash Service,-97.747667,03/09/2019 09:35:05 PM +0000
3954,78712,Crash Service,-97.745593,03/09/2019 09:45:05 PM +0000
3977,78665,COLLISION,-97.562884,03/09/2019 08:55:04 PM +0000
4005,78712,TRFC HAZD/ DEBRIS,-97.797993,03/09/2019 09:30:05 PM +0000
4013,78729,COLLISION WITH INJURY,-97.72564799999999,03/09/2019 09:45:05 PM +0000
4014,78728,COLLISION,-97.667597,03/09/2019 09:50:04 PM +0000
4015,78728,COLLISN/ LVNG SCN,-97.666795,03/09/2019 10:25:04 PM +0000
4031,78729,Crash Urgent,-97.801956,03/09/2019 10:25:04 PM +0000
4062,78701,Traffic Hazard,-97.73688800000001,03/09/2019 09:25:04 PM +0000
4063,78749,Traffic Hazard,-97.845597,03/09/2019 09:45:05 PM +0000
4169,78729,Crash Urgent,-97.848558,03/09/2019 09:25:04 PM +0000
4182,78721,Traffic Hazard,-97.637665,03/09/2019 10:15:04 PM +0000
4225,78712,Crash Service,-97.764988,03/09/2019 10:00:06 PM +0000
4241,78712,Crash Urgent,-97.690851,03/09/2019 09:55:03 PM +0000
4242,78724,COLLISION,-97.42527,03/09/2019 09:55:03 PM +0000
4282,78756,Crash Urgent,-97.730896,03/09/2019 10:05:04 PM +0000
4283,78735,COLLISION,-98.010901,03/09/2019 10:00:06 PM +0000
4369,78728,Traffic Hazard,-97.704212,03/09/2019 10:30:05 PM +0000
4370,78712,zSTALLED VEHICLE,-97.756714,03/09/2019 10:50:05 PM +0000
4371,78728,Crash Service,-97.69659,03/09/2019 10:55:03 PM +0000
4392,78752,COLLISION,-97.593935,03/09/2019 10:20:05 PM +0000
4417,78712,TRFC HAZD/ DEBRIS,-97.79549499999999,03/09/2019 10:25:04 PM +0000
4418,78728,zSTALLED VEHICLE,-97.70146700000001,03/09/2019 11:00:07 PM +0000
4419,78749,Traffic Hazard,-97.832335,03/09/2019 11:10:04 PM +0000
4438,78712,Crash Urgent,-97.734205,03/09/2019 10:35:04 PM +0000
4494,78741,Traffic Hazard,-97.698371,03/09/2019 11:15:05 PM +0000
4496,78756,Crash Service,-97.70563800000001,03/09/2019 11:15:05 PM +0000
4526,78749,COLLISION,-97.9111,03/09/2019 11:10:04 PM +0000
4544,78742,Traffic Hazard,-97.639309,03/09/2019 11:55:04 PM +0000
4574,78757,zSTALLED VEHICLE,-97.73495799999999,03/09/2019 11:10:04 PM +0000
4575,78754,COLLISION,-97.50497299999999,03/09/2019 11:45:04 PM +0000
4595,78742,COLLISION WITH INJURY,-97.629522,03/09/2019 11:10:04 PM +0000
4785,78712,Crash Urgent,-97.737275,03/09/2019 11:25:04 PM +0000
4818,78712,Crash Service,-97.697455,03/09/2019 11:25:04 PM +0000
4899,78701,Traffic Hazard,-97.76433399999999,03/10/2019 12:20:04 AM +0000
4930,78756,Traffic Hazard,-97.782691,03/09/2019 11:40:03 PM +0000
4977,78742,zSTALLED VEHICLE,-97.686077,03/10/2019 12:05:03 AM +0000
5029,78712,Traffic Hazard,-97.75784,03/09/2019 11:55:04 PM +0000
5083,78741,Traffic Hazard,-97.744682,03/10/2019 12:00:07 AM +0000
5195,78742,TRFC HAZD/ DEBRIS,-97.641328,03/10/2019 12:05:03 AM +0000
5267,78701,Crash Service,-97.774229,03/10/2019 12:40:04 AM +0000
5268,78701,Traffic Hazard,-97.719551,03/10/2019 01:20:04 AM +0000
5294,78745,Traffic Hazard,-97.803619,03/10/2019 12:25:04 AM +0000
5319,78728,Crash Urgent,-97.664745,03/10/2019 12:55:03 AM +0000
5320,78749,COLLISION,-97.9111,03/10/2019 01:20:04 AM +0000
5321,78742,Crash Service,-97.688313,03/10/2019 03:00:05 AM +0000
5343,78757,Traffic Hazard,-97.793109,03/10/2019 12:25:04 AM +0000
5344,78754,TRFC HAZD/ DEBRIS,-97.526317,03/10/2019 12:40:04 AM +0000
5363,78745,COLLISION,-97.812219,03/10/2019 01:25:04 AM +0000
5377,78745,Traffic Hazard,-97.804275,03/10/2019 12:40:04 AM +0000
5378,78712,Crash Service,-97.753964,03/10/2019 12:45:04 AM +0000
5400,78741,Crash Service,-97.77364399999999,03/10/2019 12:45:03 AM +0000
5416,78701,Crash Service,-97.743558,03/10/2019 01:00:07 AM +0000
5417,78729,Crash Urgent,-97.80205600000001,03/10/2019 03:20:04 AM +0000
5433,78757,Traffic Hazard,-97.80239300000001,03/10/2019 01:30:06 AM +0000
5456,78742,TRFC HAZD/ DEBRIS,-97.586892,03/10/2019 01:35:04 AM +0000
5480,78752,Traffic Hazard,-97.686041,03/10/2019 01:45:04 AM +0000
5503,78745,Crash Urgent,-97.8154,03/10/2019 02:15:05 AM +0000
5527,78728,TRFC HAZD/ DEBRIS,-97.606072,03/10/2019 02:05:04 AM +0000
5541,78701,Traffic Hazard,-97.755002,03/10/2019 02:00:07 AM +0000
5542,78748,Crash Urgent,-97.78177600000001,03/10/2019 02:20:05 AM +0000
5556,78749,Traffic Hazard,-97.848389,03/10/2019 02:15:05 AM +0000
5557,78751,Traffic Hazard,-97.68723299999999,03/10/2019 02:55:03 AM +0000
5573,78712,Traffic Hazard,-97.740427,03/10/2019 03:00:05 AM +0000
5574,78748,Crash Urgent,-97.80155500000001,03/10/2019 03:50:04 AM +0000
5598,78712,Traffic Hazard,-97.741771,03/10/2019 02:40:04 AM +0000
5612,78721,Crash Urgent,-97.62324699999999,03/10/2019 04:10:04 AM +0000
5645,78751,Traffic Hazard,-97.686103,03/10/2019 03:25:04 AM +0000
5646,78701,Crash Urgent,-97.72703100000001,03/10/2019 03:50:04 AM +0000
5660,78757,Traffic Hazard,-97.71789799999999,03/10/2019 04:25:04 AM +0000
5678,78741,Traffic Hazard,-97.77247,03/10/2019 04:15:04 AM +0000
5694,78701,Traffic Hazard,-97.75282800000001,03/10/2019 04:20:04 AM +0000
5695,78712,Crash Urgent,-97.70904,03/10/2019 04:20:04 AM +0000
5696,78701,Crash Service,-97.790018,03/10/2019 04:55:03 AM +0000
5718,78703,COLLISION,-97.828725,03/10/2019 04:40:04 AM +0000
5740,78712,Crash Urgent,-97.727676,03/10/2019 05:10:04 AM +0000
5762,78757,Crash Urgent,-97.73261600000001,03/10/2019 05:00:07 AM +0000
5783,78757,Crash Urgent,-97.718401,03/10/2019 05:30:03 AM +0000
5799,78728,COLLISN/ LVNG SCN,-97.6528,03/10/2019 06:40:04 AM +0000
5811,78712,Traffic Hazard,-97.755684,03/10/2019 06:15:04 AM +0000
5828,78729,Crash Service,-97.75494,03/10/2019 07:55:04 AM +0000
5839,78749,COLLISION,-97.941611,03/10/2019 08:00:12 AM +0000
5856,78728,Crash Service,-97.703351,03/10/2019 08:15:06 AM +0000
5869,78712,Traffic Hazard,-97.741504,03/10/2019 06:45:04 AM +0000
5870,78729,Crash Urgent,-97.766667,03/10/2019 06:45:04 AM +0000
5871,78752,Crash Urgent,-97.692387,03/10/2019 07:10:04 AM +0000
5882,78722,Traffic Hazard,-97.66350899999999,03/10/2019 07:10:04 AM +0000
5898,78748,Crash Urgent,-97.797103,03/10/2019 07:40:04 AM +0000
5906,78749,Traffic Hazard,-97.843519,03/10/2019 08:10:04 AM +0000
5918,78742,COLLISN/ LVNG SCN,-97.66045600000001,03/10/2019 08:25:04 AM +0000
5919,78752,Crash Urgent,-97.690021,03/10/2019 09:15:04 AM +0000
5925,78712,Crash Service,-97.764996,03/10/2019 11:35:05 AM +0000
6058,78751,Crash Urgent,-97.705073,03/10/2019 09:05:04 AM +0000
6083,78752,Crash Urgent,-97.676692,03/10/2019 09:00:06 AM +0000
6105,78712,Crash Service,-97.749154,03/10/2019 09:05:04 AM +0000
6120,78751,Crash Service,-97.70463000000001,03/10/2019 09:55:03 AM +0000
6133,78751,Crash Service,-97.715068,03/10/2019 09:30:06 AM +0000
6150,78741,Traffic Hazard,-97.768589,03/10/2019 09:55:03 AM +0000
6151,78751,COLLISN/ LVNG SCN,-97.659426,03/10/2019 10:05:03 AM +0000
6197,78754,COLLISION,-97.528341,03/10/2019 10:55:03 AM +0000
6253,78757,Traffic Hazard,-97.75758499999999,03/10/2019 09:45:04 AM +0000
6331,78751,Traffic Hazard,-97.70275699999999,03/10/2019 10:35:04 AM +0000
6387,78741,Traffic Hazard,-97.704708,03/10/2019 12:15:05 PM +0000
6410,78749,Traffic Hazard,-97.866127,03/10/2019 11:30:05 AM +0000
6457,78741,Crash Urgent,-97.750247,03/10/2019 05:40:04 PM +0000
