,beer_receipts,liquor_receipts,total_receipts,wine_receipts,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,I-MF-Tot.Gallons,I-R-Tot.Gallons,MF-Tot.Gallons,R-Tot.Gallons,Score,index,zipcode,FATAL/INJURY_ACC,COLLISION_ACC,OTHER_ACC,CAR/TRAFFIC_ACC
27,0.0,0.0,0.0,0.0,18.0,43957.0,12.0,67.0,10.0,15.0,23.0,0.0,11.0,1.0,8.0,1041.0,100600.0,0.4,34.0,0.0,7.0,24.0,0.0,63.0,0.0,99.0,0.0,101.0,74.0,21.0,16.0,865.0,42.0,150700.0,406400.0,326123200.0,1606647600.0,92.0,7,78617,2.0,628.0,360.0,425.0
28,0.0,0.0,0.0,0.0,3.0,93305.0,25.0,14.0,4.0,5.0,9.0,7.0,1.0,0.0,0.0,1018.0,243200.0,0.1,230.0,0.0,1.0,9.0,0.0,70.0,6.0,98.0,67.0,638.0,2.0,33.0,3.0,708.0,47.0,384886800.0,2198000.0,823907100.0,3009205600.0,95.0,33,78717,0.0,4.0,0.0,3.0
29,0.0,0.0,0.0,0.0,32.0,32131.0,36.0,52.0,17.0,16.0,14.0,61.0,26.0,47.0,10.0,870.0,121000.0,2.0,35.0,12.0,25.0,39.0,22.0,84.0,57.0,100.0,95.0,36.0,62.0,113.0,87.0,668.0,40.0,12641200.0,469100.0,375387600.0,1148995700.0,94.0,35,78721,0.0,7.0,0.0,1.0
30,0.0,0.0,0.0,0.0,11.0,65687.0,25.0,20.0,7.0,6.0,5.0,32.0,2.0,7.0,2.0,1050.0,198500.0,0.4,39.0,0.0,1.0,11.0,1.0,67.0,29.0,99.0,90.0,181.0,13.0,61.0,24.0,708.0,41.0,398200100.0,1005500.0,1749708400.0,3335579100.0,93.0,41,78727,0.0,102.0,4.0,47.0
31,0.0,0.0,0.0,0.0,14.0,47405.0,26.0,28.0,9.0,6.0,4.0,46.0,4.0,6.0,1.0,901.0,168600.0,0.0,24.0,0.0,2.0,24.0,1.0,83.0,35.0,99.0,100.0,302.0,16.0,30.0,28.0,668.0,40.0,135357100.0,250100.0,623649000.0,429509600.0,94.0,42,78728,0.0,652.0,10.0,459.0
32,0.0,0.0,0.0,0.0,4.0,119573.0,13.0,5.0,4.0,3.0,9.0,19.0,0.0,0.0,0.0,1106.0,570400.0,0.2,78.0,0.0,0.0,3.0,1.0,64.0,17.0,99.0,25.0,283.0,22.0,44.0,2.0,786.0,34.0,89682900.0,12697900.0,407199900.0,1767452400.0,96.0,44,78730,0.0,48.0,3.0,27.0
33,0.0,0.0,0.0,0.0,3.0,127726.0,13.0,9.0,3.0,5.0,15.0,0.0,0.0,0.0,0.0,1688.0,388600.0,0.0,239.0,0.0,0.0,0.0,0.0,26.0,0.0,80.0,15.0,1242.0,105.0,75.0,0.0,786.0,33.0,0.0,0.0,0.0,682000.0,96.0,46,78732,0.0,284.0,1.0,259.0
34,0.0,0.0,0.0,0.0,1.0,126525.0,14.0,15.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,2000.0,350500.0,0.0,108.0,0.0,0.0,0.0,0.0,8.0,0.0,71.0,11.0,46.0,0.0,72.0,8.0,786.0,34.0,2122000.0,18600.0,0.0,3838624500.0,99.0,53,78739,0.0,58.0,3.0,41.0
35,0.0,0.0,0.0,0.0,37.0,34076.0,4.0,70.0,7.0,11.0,18.0,50.0,40.0,0.0,3.0,639.0,54400.0,1.3,57.0,50.0,23.0,76.0,50.0,100.0,50.0,100.0,100.0,165.0,17.0,-37.0,3.0,747.0,43.0,2794000.0,0.0,23412000.0,59679300.0,94.0,55,78742,0.0,11.0,8.0,9.0
36,0.0,0.0,0.0,0.0,26.0,41056.0,9.0,77.0,8.0,9.0,23.0,93.0,7.0,24.0,8.0,946.0,108100.0,0.7,35.0,13.0,6.0,22.0,33.0,81.0,87.0,100.0,100.0,89.0,26.0,44.0,63.0,708.0,40.0,155979400.0,2323000.0,2241405100.0,4014640700.0,92.0,56,78744,1.0,147.0,57.0,96.0
37,0.0,0.0,0.0,0.0,6.0,80956.0,13.0,20.0,7.0,4.0,7.0,5.0,1.0,1.0,0.0,1150.0,233900.0,0.3,32.0,0.0,1.0,6.0,0.0,57.0,3.0,97.0,70.0,171.0,25.0,61.0,37.0,708.0,40.0,375817200.0,2263800.0,1337793200.0,5438465200.0,96.0,61,78749,0.0,88.0,0.0,50.0
38,0.0,0.0,0.0,0.0,9.0,59685.0,8.0,9.0,12.0,4.0,2.0,20.0,17.0,6.0,0.0,888.0,342300.0,0.6,8.0,2.0,13.0,34.0,3.0,76.0,19.0,99.0,37.0,-20.0,47.0,99.0,90.0,550.0,40.0,13247900.0,4781100.0,458742000.0,986151100.0,92.0,67,78756,0.0,1.0,0.0,1.0
